Data,Close_filled
2014-04-30,51626.0
2014-05-31,51239.0
2014-06-30,53168.0
2014-07-31,55829.0
2014-08-31,61288.0
2014-09-30,54115.0
2014-10-31,54628.0
2014-11-30,54724.0
2014-12-31,49499.09361963582
2015-01-31,46907.0
2015-02-28,51583.0
2015-03-31,51150.0
2015-04-30,56229.0
2015-05-31,52760.0
2015-06-30,53080.0
2015-07-31,50864.0
2015-08-31,46625.0
2015-09-30,45059.0
2015-10-31,45868.0
2015-11-30,45120.0
2015-12-31,42956.95498963005
2016-01-31,40405.0
2016-02-29,42793.0
2016-03-31,50055.0
2016-04-30,53910.0
2016-05-31,48471.0
2016-06-30,51526.0
2016-07-31,57308.0
2016-08-31,57901.0
2016-09-30,58367.0
2016-10-31,64924.0
2016-11-30,61906.0
2016-12-31,59969.22284537032
2017-01-31,64670.0
2017-02-28,66847.20532378563
2017-03-31,64984.0
2017-04-30,65403.0
2017-05-31,62711.0
2017-06-30,62899.0
2017-07-31,65920.0
2017-08-31,70835.05
2017-09-30,74293.51
2017-10-31,74308.49
2017-11-30,71970.99
2017-12-31,76897.43230540487
2018-01-31,84912.7
2018-02-28,85353.6
2018-03-31,84959.30428788242
2018-04-30,86115.5
2018-05-31,77014.80658000938
2018-06-30,72762.52
2018-07-31,79220.44
2018-08-31,76677.53
2018-09-30,79342.43
2018-10-31,87423.55
2018-11-30,89504.03
2018-12-31,88851.18400041532
2019-01-31,97393.75
2019-02-28,95584.35
2019-03-31,95414.56
2019-04-30,96353.33
2019-05-31,97030.32
2019-06-30,100967.2
2019-07-31,101812.13
2019-08-31,101134.61
2019-09-30,104745.32
2019-10-31,107219.83
2019-11-30,108233.28
2019-12-31,116667.53463733137
2020-01-31,113760.57
2020-02-29,104171.57
2020-03-31,73019.76
2020-04-30,80505.89
2020-05-31,87402.59
2020-06-30,95055.82
2020-07-31,102912.24
2020-08-31,99369.15
2020-09-30,94603.38
2020-10-31,93952.4
2020-11-30,108893.32
2020-12-31,118992.48733352585
2021-01-31,115067.55
2021-02-28,110035.17
2021-03-31,116633.72
2021-04-30,118893.84
2021-05-31,126215.73
2021-06-30,126801.66
2021-07-31,121800.79
2021-08-31,118781.03
2021-09-30,110979.1
2021-10-31,103500.71
2021-11-30,101915.45
2021-12-31,104326.42425439872
2022-01-31,112143.51
2022-02-28,113761.16805627206
2022-03-31,119999.23
2022-04-30,107876.16
2022-05-31,111350.51
2022-06-30,98541.95
2022-07-31,103164.69
2022-08-31,109522.88
2022-09-30,110036.79
2022-10-31,116037.08
2022-11-30,112486.01
2022-12-31,107991.93302213974
2023-01-31,113430.54
2023-02-28,104931.93
2023-03-31,101882.2
2023-04-30,104431.63
2023-05-31,108335.07
2023-06-30,118087.0
2023-07-31,121942.98
2023-08-31,115741.81
2023-09-30,116565.17
2023-10-31,113143.67
2023-11-30,127331.12
2023-12-31,133675.17724182992
2024-01-31,127752.28
2024-02-29,129020.02
2024-03-31,127550.69028242334
2024-04-30,125924.19
2024-05-31,122098.09
2024-06-30,123906.55
2024-07-31,127651.81
2024-08-31,136004.01
2024-09-30,131816.44
2024-10-31,129713.33
2024-11-30,125667.83
2024-12-31,120194.55408400764
2025-01-31,126134.94
2025-02-28,122799.09
2025-03-31,130259.54
2025-04-30,135066.97
2025-05-31,137026.62
2025-06-30,138854.6
2025-07-31,133071.05
2025-08-31,141422.26
2025-09-30,146237.02
2025-10-31,149540.43
2025-11-30,155467.0999469591
